tract,Name,Household_Income_at_Age_35_rP_gP_pall,Incarceration_Rate_rP_gP_pall,Teenage_Birth_Rate_women_only_rP_gP_pall,Individual_Income_Excluding_Spouse_at_Age_35_rP_gP_pall,Fraction_Married_at_Age_35_rP_gP_pall,Spouse's_Income_at_Age_35_rP_gP_pall,Employment_Rate_at_Age_35_rP_gP_pall,High_School_Graduation_Rate_rP_gP_pall,College_Graduation_Rate_rP_gP_pall,Hours_Worked_Per_Week_at_Age_35_rP_gP_pall,Hourly_Wage_$/hour_at_Age_35_rP_gP_pall,Frac._in_Top_20%_Based_on_Household_Income_rP_gP_pall,Frac._In_Top_1%_Based_on_Household_Income_rP_gP_pall,Frac._in_Top_20%_Based_on_Indiv_Income_rP_gP_pall,Frac._In_Top_1%_Based_on_Indiv._Income_rP_gP_pall,%_Staying_in_Same_Commuting_Zone_as_Adults_rP_gP_pall,%_Staying_in_Same_Tract_as_Adults_rP_gP_pall,Household_Income_Stayed_in_Commuting_Zone_rP_gP_pall,Individual_Income_Stayed_in_Commuting_Zone_rP_gP_pall,Household_Income_for_U.S._Natives_rP_gP_pall,Household_Income_for_Immigrants_rP_gP_pall,Individual_Income_for_U.S._Natives_rP_gP_pall,Individual_Income_for_Immigrants_rP_gP_pall,Number_of_Children_rP_gP_pall
22051020101,"Bucktown, Metairie, LA",42754,0.0014,,30237,0.4339,43234,0.7396,,,,,0.2479,,0.2373,,0.7214,0.2602,39037,27728,,,,,423
22051020102,"Bonnabel Place, Metairie, LA",56013,0.0014,,35149,0.5497,45032,0.7996,,,,,0.368,,0.3088,,0.6562,0.1648,51292,34478,,,,,631
22051020201,"Metairie, LA",62039,0.0035,,39974,0.5209,52017,0.7761,,,,,0.3862,,0.382,,0.6845,0.1443,54613,37654,,,,,341
22051020202,"Metairie, LA",32726,0.0162,,24214,0.3029,37875,0.7335,,,,,0.1435,,0.1553,,0.6315,0.116,28918,21828,,,,,730
22051020203,"Metairie, LA",63326,0.0064,,40472,0.5584,49051,0.7964,,,,,0.4093,,0.3922,,0.6556,0.201,59431,40928,,,,,1585
22051020301,"Metairie, LA",62882,0.0026,,38449,0.577,47294,0.7761,,,,,0.4076,,0.4053,,0.6202,0.2004,52752,36150,,,,,760
22051020302,"Metairie, LA",58485,0.0044,,37494,0.5045,49475,0.7666,,,,,0.386,,0.3236,,0.656,0.17,52069,34976,,,,,1137
22051020303,"Metairie, LA",54287,0.0097,,35705,0.5291,44113,0.7825,,,,,0.3258,,0.3027,,0.669,0.2006,49960,34521,,,,,809
22051020400,"Metairie, LA",61977,0.005,,38597,0.5574,49835,0.8285,,,,,0.3743,,0.3462,,0.6485,0.157,54903,37108,,,,,862
22051020502,"Kenner, LA",39351,0.0164,,28793,0.3895,40350,0.7656,,,,,0.1684,,0.1623,,0.7227,0.2476,36285,27661,,,,,1679
22051020505,"Kenner, LA",22776,0.0618,,19376,0.1492,36743,0.7522,,,,,0.0461,,0.0763,,0.746,0.2925,22460,19635,,,,,710
22051020506,"Kenner, LA",45900,0.009,,31918,0.4522,40406,0.7603,,,,,0.2241,,0.2039,,0.7151,0.2314,43051,30808,,,,,1477
22051020507,"Kenner, LA",51301,0.0005,,33536,0.5033,44665,0.8069,,,,,0.3014,,0.2264,,0.7121,0.203,48020,32241,,,,,985
22051020511,"Kenner, LA",54957,0.0046,,36877,0.4874,45844,0.8022,,,,,0.343,,0.3202,,0.6345,0.1944,49076,35363,,,,,1103
22051020512,"Kenner, LA",57537,0.0053,,37465,0.5016,45114,0.7781,,,,,0.3459,,0.3544,,0.5966,0.1721,51936,36188,,,,,452
22051020513,"Kenner, LA",51694,0.0107,,33638,0.4702,47671,0.7721,,,,,0.3231,,0.265,,0.6404,0.1639,44625,31061,,,,,1168
22051020514,"Kenner, LA",68656,0.0007,,40831,0.5953,51942,0.776,,,,,0.4589,,0.3961,,0.6537,0.1167,64875,39508,,,,,1281
22051020517,"Kenner, LA",61695,0.0018,,38976,0.5575,45529,0.8196,,,,,0.3951,,0.3493,,0.626,0.1295,56564,36822,,,,,1068
22051020600,"Kenner, LA",23192,0.0449,,19848,0.1568,32615,0.7381,,,,,0.043,,0.0829,,0.7049,0.1895,22047,19423,,,,,2221
